trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
92,0,92,0,5,165.92694752899843,165.92694752899843,0.024994476996653248,0.22777777777777777,-0.2811111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
93,0,93,0,10,167.55024381299881,167.55024381299881,0.0504970619949745,0.06888888888888889,0.3233333333333333,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
94,0,94,0,5,168.46952430300007,168.46952430300007,0.02497983600187581,-0.07666666666666666,-0.2288888888888889,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
95,0,95,0,10,169.97802035199857,169.97802035199857,0.04891651900106808,0.28555555555555556,-0.028888888888888888,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
96,0,96,0,10,171.40009827700123,171.40009827700123,0.04999306199897546,0.23777777777777778,-0.13111111111111112,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
97,0,97,0,5,173.89362700600032,173.89362700600032,0.02539269700355362,0.25555555555555554,0.24,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
98,0,98,0,10,174.95754412999668,174.95754412999668,0.048805875005200505,0.30777777777777776,-0.16555555555555557,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
99,0,99,0,5,176.11866643699614,176.11866643699614,0.024995424995722715,-0.41444444444444445,0.32222222222222224,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
100,0,100,0,10,178.15331276399957,178.15331276399957,0.04715644499810878,-0.05,0.008888888888888889,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
101,0,101,0,10,180.82122574099776,180.82122574099776,0.04887971700372873,0.4533333333333333,0.39666666666666667,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
