trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
153,0,153,0,5,292.8407694,292.8407694,0.0167105,[0.4212962962962963],[-0.1361111111111111],[1],[0],[0],[1.8939828998409212],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
158,0,158,0,5,302.236688,302.236688,0.0294743,[0.22685185185185186],[0.32407407407407407],[1],[0],[0],[1.4575021001510322],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
162,0,162,0,5,308.0633916,308.0633916,0.0194758,[-0.4925925925925926],[-0.37222222222222223],[1],[0],[0],[1.5704568000510335],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
165,0,165,0,5,312.3694802,312.3694802,0.0179187,[-0.2657407407407407],[0.12777777777777777],[1],[0],[0],[1.4769898997619748],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
166,0,166,0,5,313.8719901,313.8719901,0.0199878,[-0.03425925925925926],[0.25092592592592594],[1],[0],[0],[1.2743154000490904],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
167,0,167,0,5,315.1661955,315.1661955,0.017638,[-0.3287037037037037],[0.13703703703703704],[1],[0],[0],[1.145457400009036],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
168,0,168,0,5,316.3548144,316.3548144,0.0304942,[-0.43148148148148147],[0.10462962962962963],[1],[0],[0],[1.243565000128001],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
169,0,169,0,5,317.635058,317.635058,0.0292399,[-0.3472222222222222],[-0.3194444444444444],[1],[0],[0],[1.4624751000665128],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
171,0,171,0,5,320.4943944,320.4943944,0.0163382,"[-0.16574074074074074, -0.16574074074074074, -0.15092592592592594]","[-0.40185185185185185, -0.40185185185185185, -0.4074074074074074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.3611413999460638, 1.9598429999314249, 2.7925723996013403]",['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
173,0,173,0,5,327.4478426,327.4478426,0.0296703,[0.23981481481481481],[-0.36018518518518516],[1],[0],[0],[2.20577559992671],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
175,0,175,0,5,331.1698809,331.1698809,0.0183793,[0.4685185185185185],[0.3388888888888889],[1],[0],[0],[1.4919849000871181],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
176,0,176,0,5,332.6851191,332.6851191,0.0171837,[-0.2518518518518518],[0.17314814814814813],[1],[0],[0],[1.7100319997407496],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
178,0,178,0,5,335.811448,335.811448,0.016039,[-0.021296296296296296],[0.22592592592592592],[1],[0],[0],[1.4955235002562404],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
182,0,182,0,5,342.7296328,342.7296328,0.0262745,[-0.27685185185185185],[-0.0712962962962963],[1],[0],[0],[1.5723180999048054],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
183,0,183,0,5,344.3508033,344.3508033,0.0373272,[-0.42777777777777776],[0.22037037037037038],[1],[0],[0],[2.0666522001847625],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
